tanggal,tahun,bulan,nama_bulan,kuartal,hari,hari_dalam_minggu,akhir_pekan
2022-07-01,2022,7,July,Q3,1,Friday,False
2022-07-02,2022,7,July,Q3,2,Saturday,True
2022-07-03,2022,7,July,Q3,3,Sunday,True
2022-07-04,2022,7,July,Q3,4,Monday,False
2022-07-05,2022,7,July,Q3,5,Tuesday,False
2022-07-06,2022,7,July,Q3,6,Wednesday,False
2022-07-07,2022,7,July,Q3,7,Thursday,False
2022-07-08,2022,7,July,Q3,8,Friday,False
2022-07-09,2022,7,July,Q3,9,Saturday,True
2022-07-10,2022,7,July,Q3,10,Sunday,True
2022-07-11,2022,7,July,Q3,11,Monday,False
2022-07-12,2022,7,July,Q3,12,Tuesday,False
2022-07-13,2022,7,July,Q3,13,Wednesday,False
2022-07-14,2022,7,July,Q3,14,Thursday,False
2022-07-15,2022,7,July,Q3,15,Friday,False
2022-07-16,2022,7,July,Q3,16,Saturday,True
2022-07-17,2022,7,July,Q3,17,Sunday,True
2022-07-18,2022,7,July,Q3,18,Monday,False
2022-07-19,2022,7,July,Q3,19,Tuesday,False
2022-07-20,2022,7,July,Q3,20,Wednesday,False
2022-07-21,2022,7,July,Q3,21,Thursday,False
2022-07-22,2022,7,July,Q3,22,Friday,False
2022-07-23,2022,7,July,Q3,23,Saturday,True
2022-07-24,2022,7,July,Q3,24,Sunday,True
2022-07-25,2022,7,July,Q3,25,Monday,False
2022-07-26,2022,7,July,Q3,26,Tuesday,False
2022-07-27,2022,7,July,Q3,27,Wednesday,False
2022-07-28,2022,7,July,Q3,28,Thursday,False
2022-07-29,2022,7,July,Q3,29,Friday,False
2022-07-30,2022,7,July,Q3,30,Saturday,True
2022-07-31,2022,7,July,Q3,31,Sunday,True
2022-08-01,2022,8,August,Q3,1,Monday,False
2022-08-02,2022,8,August,Q3,2,Tuesday,False
2022-08-03,2022,8,August,Q3,3,Wednesday,False
2022-08-04,2022,8,August,Q3,4,Thursday,False
2022-08-05,2022,8,August,Q3,5,Friday,False
2022-08-06,2022,8,August,Q3,6,Saturday,True
2022-08-07,2022,8,August,Q3,7,Sunday,True
2022-08-08,2022,8,August,Q3,8,Monday,False
2022-08-09,2022,8,August,Q3,9,Tuesday,False
2022-08-10,2022,8,August,Q3,10,Wednesday,False
2022-08-11,2022,8,August,Q3,11,Thursday,False
2022-08-12,2022,8,August,Q3,12,Friday,False
2022-08-13,2022,8,August,Q3,13,Saturday,True
2022-08-14,2022,8,August,Q3,14,Sunday,True
2022-08-15,2022,8,August,Q3,15,Monday,False
2022-08-16,2022,8,August,Q3,16,Tuesday,False
2022-08-17,2022,8,August,Q3,17,Wednesday,False
